scientific_name,quality.indic,FID,subsample_count,specimen_number,subsample_weight,remaining_weight,weight,cruise,ship,haul,collection,latitude,longitude,itis_tsn,sex,is_random_sample,standard_length,fork_length,total_length,mantle_length,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time,haulback_time,surface_temp,surface_temp_method,ship_spd_through_water,presence_only,beginTransect,endTransect,quality.indic2
Sardinops sagax,1.943,392,50,56,9.738,2101,0.216,200307,FR,22,2024,48,-124.9648,161729,female,N,242,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
Sardinops sagax,1.943,393,50,57,9.738,2101,0.218,200307,FR,22,2024,48,-124.9648,161729,female,N,246,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
Sardinops sagax,1.943,394,50,58,9.738,2101,0.188,200307,FR,22,2024,48,-124.9648,161729,female,N,233,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
Sardinops sagax,1.943,395,50,59,9.738,2101,0.186,200307,FR,22,2024,48,-124.9648,161729,female,N,243,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
Sardinops sagax,1.943,396,50,60,9.738,2101,0.263,200307,FR,22,2024,48,-124.9648,161729,female,N,264,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
Sardinops sagax,1.758,469,50,51,7.986,357.914,0.213,200307,FR,24,2026,44.8731,-124.2301,161729,female,N,247,,,,44.8731,-124.2301,44.8215,-124.2556,2003-07-18T12:33:00Z,2003-07-18T13:03:00Z,15.6,TSG,3.4,N,"-124.2301,44.8731","-124.2556,44.8215",-6.228
Sardinops sagax,1.758,470,50,52,7.986,357.914,0.222,200307,FR,24,2026,44.8731,-124.2301,161729,female,N,243,,,,44.8731,-124.2301,44.8215,-124.2556,2003-07-18T12:33:00Z,2003-07-18T13:03:00Z,15.6,TSG,3.4,N,"-124.2301,44.8731","-124.2556,44.8215",-6.228
Sardinops sagax,1.758,471,50,53,7.986,357.914,0.229,200307,FR,24,2026,44.8731,-124.2301,161729,female,N,249,,,,44.8731,-124.2301,44.8215,-124.2556,2003-07-18T12:33:00Z,2003-07-18T13:03:00Z,15.6,TSG,3.4,N,"-124.2301,44.8731","-124.2556,44.8215",-6.228
Sardinops sagax,1.758,472,50,54,7.986,357.914,0.225,200307,FR,24,2026,44.8731,-124.2301,161729,female,N,250,,,,44.8731,-124.2301,44.8215,-124.2556,2003-07-18T12:33:00Z,2003-07-18T13:03:00Z,15.6,TSG,3.4,N,"-124.2301,44.8731","-124.2556,44.8215",-6.228
Sardinops sagax,1.758,473,50,55,7.986,357.914,0.167,200307,FR,24,2026,44.8731,-124.2301,161729,female,N,228,,,,44.8731,-124.2301,44.8215,-124.2556,2003-07-18T12:33:00Z,2003-07-18T13:03:00Z,15.6,TSG,3.4,N,"-124.2301,44.8731","-124.2556,44.8215",-6.228
Sardinops sagax,1.758,474,50,56,7.986,357.914,0.13,200307,FR,24,2026,44.8731,-124.2301,161729,female,N,212,,,,44.8731,-124.2301,44.8215,-124.2556,2003-07-18T12:33:00Z,2003-07-18T13:03:00Z,15.6,TSG,3.4,N,"-124.2301,44.8731","-124.2556,44.8215",-6.228
Sardinops sagax,1.758,475,50,57,7.986,357.914,0.173,200307,FR,24,2026,44.8731,-124.2301,161729,female,N,231,,,,44.8731,-124.2301,44.8215,-124.2556,2003-07-18T12:33:00Z,2003-07-18T13:03:00Z,15.6,TSG,3.4,N,"-124.2301,44.8731","-124.2556,44.8215",-6.228
Sardinops sagax,1.758,476,50,58,7.986,357.914,0.21,200307,FR,24,2026,44.8731,-124.2301,161729,female,N,240,,,,44.8731,-124.2301,44.8215,-124.2556,2003-07-18T12:33:00Z,2003-07-18T13:03:00Z,15.6,TSG,3.4,N,"-124.2301,44.8731","-124.2556,44.8215",-6.228
Sardinops sagax,1.758,477,50,59,7.986,357.914,0.189,200307,FR,24,2026,44.8731,-124.2301,161729,female,N,239,,,,44.8731,-124.2301,44.8215,-124.2556,2003-07-18T12:33:00Z,2003-07-18T13:03:00Z,15.6,TSG,3.4,N,"-124.2301,44.8731","-124.2556,44.8215",-6.228
Sardinops sagax,1.015,578,50,51,8.174,206.8,0.203,200307,FR,26,2028,44.7206,-124.4121,161729,female,N,240,,,,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T15:43:00Z,2003-07-18T16:13:00Z,16.5,TSG,3.4,N,"-124.4121,44.7206","-124.4413,44.6908",-7.159
Sardinops sagax,1.015,579,50,52,8.174,206.8,0.177,200307,FR,26,2028,44.7206,-124.4121,161729,female,N,235,,,,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T15:43:00Z,2003-07-18T16:13:00Z,16.5,TSG,3.4,N,"-124.4121,44.7206","-124.4413,44.6908",-7.159
Sardinops sagax,1.015,580,50,53,8.174,206.8,0.215,200307,FR,26,2028,44.7206,-124.4121,161729,female,N,251,,,,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T15:43:00Z,2003-07-18T16:13:00Z,16.5,TSG,3.4,N,"-124.4121,44.7206","-124.4413,44.6908",-7.159
Sardinops sagax,1.015,581,50,54,8.174,206.8,0.22,200307,FR,26,2028,44.7206,-124.4121,161729,female,N,249,,,,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T15:43:00Z,2003-07-18T16:13:00Z,16.5,TSG,3.4,N,"-124.4121,44.7206","-124.4413,44.6908",-7.159
Sardinops sagax,1.015,582,50,55,8.174,206.8,0.2,200307,FR,26,2028,44.7206,-124.4121,161729,female,N,244,,,,44.7206,-124.4121,44.6908,-124.4413,2003-07-18T15:43:00Z,2003-07-18T16:13:00Z,16.5,TSG,3.4,N,"-124.4121,44.7206","-124.4413,44.6908",-7.159
Sardinops sagax,1.005,683,50,51,10.18,467.35,0.356,200307,FR,31,2033,44.1538,-124.4996,161729,female,N,294,,,,44.1538,-124.4996,44.1535,-124.444,2003-07-20T11:35:00Z,2003-07-20T12:05:00Z,16.9,TSG,3.4,N,"-124.4996,44.1538","-124.444,44.1535",-9.175
Sardinops sagax,1.005,684,50,52,10.18,467.35,0.083,200307,FR,31,2033,44.1538,-124.4996,161729,female,N,182,,,,44.1538,-124.4996,44.1535,-124.444,2003-07-20T11:35:00Z,2003-07-20T12:05:00Z,16.9,TSG,3.4,N,"-124.4996,44.1538","-124.444,44.1535",-9.175
Sardinops sagax,1.005,685,50,53,10.18,467.35,0.107,200307,FR,31,2033,44.1538,-124.4996,161729,female,N,189,,,,44.1538,-124.4996,44.1535,-124.444,2003-07-20T11:35:00Z,2003-07-20T12:05:00Z,16.9,TSG,3.4,N,"-124.4996,44.1538","-124.444,44.1535",-9.175
Sardinops sagax,1.005,686,50,54,10.18,467.35,0.211,200307,FR,31,2033,44.1538,-124.4996,161729,female,N,245,,,,44.1538,-124.4996,44.1535,-124.444,2003-07-20T11:35:00Z,2003-07-20T12:05:00Z,16.9,TSG,3.4,N,"-124.4996,44.1538","-124.444,44.1535",-9.175
Sardinops sagax,1.005,687,50,55,10.18,467.35,0.248,200307,FR,31,2033,44.1538,-124.4996,161729,female,N,265,,,,44.1538,-124.4996,44.1535,-124.444,2003-07-20T11:35:00Z,2003-07-20T12:05:00Z,16.9,TSG,3.4,N,"-124.4996,44.1538","-124.444,44.1535",-9.175
Sardinops sagax,2.375,738,50,51,10.3,355.6,0.253,200307,FR,32,2034,44.1466,-124.4486,161729,female,N,259,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,2.375,739,50,52,10.3,355.6,0.238,200307,FR,32,2034,44.1466,-124.4486,161729,female,N,257,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,2.375,740,50,53,10.3,355.6,0.185,200307,FR,32,2034,44.1466,-124.4486,161729,female,N,241,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,2.375,741,50,54,10.3,355.6,0.212,200307,FR,32,2034,44.1466,-124.4486,161729,female,N,250,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,2.375,742,50,55,10.3,355.6,0.218,200307,FR,32,2034,44.1466,-124.4486,161729,female,N,256,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,2.375,743,50,56,10.3,355.6,0.255,200307,FR,32,2034,44.1466,-124.4486,161729,female,N,255,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,2.375,744,50,57,10.3,355.6,0.231,200307,FR,32,2034,44.1466,-124.4486,161729,female,N,259,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,2.375,745,50,58,10.3,355.6,0.233,200307,FR,32,2034,44.1466,-124.4486,161729,female,N,254,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,2.375,746,50,59,10.3,355.6,0.283,200307,FR,32,2034,44.1466,-124.4486,161729,female,N,274,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,2.375,747,50,60,10.3,355.6,0.261,200307,FR,32,2034,44.1466,-124.4486,161729,female,Y,262,,,,44.1466,-124.4486,44.1106,-124.4436,2003-07-20T13:50:00Z,2003-07-20T14:20:00Z,16.1,TSG,3.6,N,"-124.4486,44.1466","-124.4436,44.1106",-7.931
Sardinops sagax,1.195,798,50,51,11.086,493.18,0.268,200307,FR,33,2035,44.0838,-124.4515,161729,female,N,262,,,,44.0838,-124.4515,44.045,-124.4528,2003-07-20T16:07:00Z,2003-07-20T16:37:00Z,15.9,TSG,3.4,N,"-124.4515,44.0838","-124.4528,44.045",-9.891
Sardinops sagax,1.195,799,50,52,11.086,493.18,0.223,200307,FR,33,2035,44.0838,-124.4515,161729,female,N,248,,,,44.0838,-124.4515,44.045,-124.4528,2003-07-20T16:07:00Z,2003-07-20T16:37:00Z,15.9,TSG,3.4,N,"-124.4515,44.0838","-124.4528,44.045",-9.891
Sardinops sagax,1.195,800,50,53,11.086,493.18,0.243,200307,FR,33,2035,44.0838,-124.4515,161729,female,N,256,,,,44.0838,-124.4515,44.045,-124.4528,2003-07-20T16:07:00Z,2003-07-20T16:37:00Z,15.9,TSG,3.4,N,"-124.4515,44.0838","-124.4528,44.045",-9.891
Sardinops sagax,1.195,801,50,54,11.086,493.18,0.217,200307,FR,33,2035,44.0838,-124.4515,161729,female,N,254,,,,44.0838,-124.4515,44.045,-124.4528,2003-07-20T16:07:00Z,2003-07-20T16:37:00Z,15.9,TSG,3.4,N,"-124.4515,44.0838","-124.4528,44.045",-9.891
Sardinops sagax,1.195,802,50,55,11.086,493.18,0.244,200307,FR,33,2035,44.0838,-124.4515,161729,female,N,262,,,,44.0838,-124.4515,44.045,-124.4528,2003-07-20T16:07:00Z,2003-07-20T16:37:00Z,15.9,TSG,3.4,N,"-124.4515,44.0838","-124.4528,44.045",-9.891
Sardinops sagax,10.584,853,50,51,1.0983,63.6,0.223,200307,FR,34,2036,44.0143,-124.4481,161729,female,N,240,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T18:13:00Z,2003-07-20T18:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",-0.399
Sardinops sagax,10.584,854,50,52,1.0983,63.6,0.259,200307,FR,34,2036,44.0143,-124.4481,161729,female,N,271,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T18:13:00Z,2003-07-20T18:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",-0.399
Sardinops sagax,10.584,855,50,53,1.0983,63.6,0.217,200307,FR,34,2036,44.0143,-124.4481,161729,female,N,244,,,,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T18:13:00Z,2003-07-20T18:43:00Z,15.7,TSG,3.4,N,"-124.4481,44.0143","-124.4473,43.9728",-0.399
Sardinops sagax,1.228,908,50,51,7.163,72.382,0.244,200307,FR,36,2038,44.0926,-124.4501,161729,female,N,248,,,,44.0926,-124.4501,44.1233,-124.4525,2003-07-22T14:17:00Z,2003-07-22T14:47:00Z,15.8,TSG,3.6,N,"-124.4501,44.0926","-124.4525,44.1233",-5.935
Sardinops sagax,1.228,909,50,52,7.163,72.382,0.193,200307,FR,36,2038,44.0926,-124.4501,161729,female,N,236,,,,44.0926,-124.4501,44.1233,-124.4525,2003-07-22T14:17:00Z,2003-07-22T14:47:00Z,15.8,TSG,3.6,N,"-124.4501,44.0926","-124.4525,44.1233",-5.935
Sardinops sagax,1.228,910,50,53,7.163,72.382,0.129,200307,FR,36,2038,44.0926,-124.4501,161729,female,N,206,,,,44.0926,-124.4501,44.1233,-124.4525,2003-07-22T14:17:00Z,2003-07-22T14:47:00Z,15.8,TSG,3.6,N,"-124.4501,44.0926","-124.4525,44.1233",-5.935
Sardinops sagax,1.228,911,50,54,7.163,72.382,0.205,200307,FR,36,2038,44.0926,-124.4501,161729,female,N,234,,,,44.0926,-124.4501,44.1233,-124.4525,2003-07-22T14:17:00Z,2003-07-22T14:47:00Z,15.8,TSG,3.6,N,"-124.4501,44.0926","-124.4525,44.1233",-5.935
Sardinops sagax,1.228,912,50,55,7.163,72.382,0.123,200307,FR,36,2038,44.0926,-124.4501,161729,female,N,202,,,,44.0926,-124.4501,44.1233,-124.4525,2003-07-22T14:17:00Z,2003-07-22T14:47:00Z,15.8,TSG,3.6,N,"-124.4501,44.0926","-124.4525,44.1233",-5.935
Sardinops sagax,1.228,913,50,56,7.163,72.382,0.111,200307,FR,36,2038,44.0926,-124.4501,161729,female,N,199,,,,44.0926,-124.4501,44.1233,-124.4525,2003-07-22T14:17:00Z,2003-07-22T14:47:00Z,15.8,TSG,3.6,N,"-124.4501,44.0926","-124.4525,44.1233",-5.935
Sardinops sagax,1.228,914,50,57,7.163,72.382,0.106,200307,FR,36,2038,44.0926,-124.4501,161729,female,N,195,,,,44.0926,-124.4501,44.1233,-124.4525,2003-07-22T14:17:00Z,2003-07-22T14:47:00Z,15.8,TSG,3.6,N,"-124.4501,44.0926","-124.4525,44.1233",-5.935
Sardinops sagax,1.228,915,50,58,7.163,72.382,0.117,200307,FR,36,2038,44.0926,-124.4501,161729,female,N,200,,,,44.0926,-124.4501,44.1233,-124.4525,2003-07-22T14:17:00Z,2003-07-22T14:47:00Z,15.8,TSG,3.6,N,"-124.4501,44.0926","-124.4525,44.1233",-5.935
Sardinops sagax,1.59,966,50,51,8.479,452.885,0.221,200307,FR,37,2039,44.1541,-124.4471,161729,female,N,256,,,,44.1541,-124.4471,44.1526,-124.4953,2003-07-21T16:22:00Z,2003-07-21T16:52:00Z,16.4,TSG,3.5,N,"-124.4471,44.1541","-124.4953,44.1526",-6.889
Sardinops sagax,1.59,967,50,52,8.479,452.885,0.142,200307,FR,37,2039,44.1541,-124.4471,161729,female,N,216,,,,44.1541,-124.4471,44.1526,-124.4953,2003-07-21T16:22:00Z,2003-07-21T16:52:00Z,16.4,TSG,3.5,N,"-124.4471,44.1541","-124.4953,44.1526",-6.889
Sardinops sagax,1.59,968,50,53,8.479,452.885,0.174,200307,FR,37,2039,44.1541,-124.4471,161729,male,N,223,,,,44.1541,-124.4471,44.1526,-124.4953,2003-07-21T16:22:00Z,2003-07-21T16:52:00Z,16.4,TSG,3.5,N,"-124.4471,44.1541","-124.4953,44.1526",-6.889
Sardinops sagax,1.59,969,50,54,8.479,452.885,0.188,200307,FR,37,2039,44.1541,-124.4471,161729,female,N,236,,,,44.1541,-124.4471,44.1526,-124.4953,2003-07-21T16:22:00Z,2003-07-21T16:52:00Z,16.4,TSG,3.5,N,"-124.4471,44.1541","-124.4953,44.1526",-6.889
Sardinops sagax,1.59,970,50,55,8.479,452.885,0.196,200307,FR,37,2039,44.1541,-124.4471,161729,female,N,251,,,,44.1541,-124.4471,44.1526,-124.4953,2003-07-21T16:22:00Z,2003-07-21T16:52:00Z,16.4,TSG,3.5,N,"-124.4471,44.1541","-124.4953,44.1526",-6.889
Sardinops sagax,1.59,971,50,56,8.479,452.885,0.25,200307,FR,37,2039,44.1541,-124.4471,161729,female,N,248,,,,44.1541,-124.4471,44.1526,-124.4953,2003-07-21T16:22:00Z,2003-07-21T16:52:00Z,16.4,TSG,3.5,N,"-124.4471,44.1541","-124.4953,44.1526",-6.889
Sardinops sagax,1.59,972,50,57,8.479,452.885,0.144,200307,FR,37,2039,44.1541,-124.4471,161729,female,N,225,,,,44.1541,-124.4471,44.1526,-124.4953,2003-07-21T16:22:00Z,2003-07-21T16:52:00Z,16.4,TSG,3.5,N,"-124.4471,44.1541","-124.4953,44.1526",-6.889
Sardinops sagax,1.59,973,50,58,8.479,452.885,0.139,200307,FR,37,2039,44.1541,-124.4471,161729,female,N,213,,,,44.1541,-124.4471,44.1526,-124.4953,2003-07-21T16:22:00Z,2003-07-21T16:52:00Z,16.4,TSG,3.5,N,"-124.4471,44.1541","-124.4953,44.1526",-6.889
Sardinops sagax,1.59,974,50,59,8.479,452.885,0.136,200307,FR,37,2039,44.1541,-124.4471,161729,female,N,212,,,,44.1541,-124.4471,44.1526,-124.4953,2003-07-21T16:22:00Z,2003-07-21T16:52:00Z,16.4,TSG,3.5,N,"-124.4471,44.1541","-124.4953,44.1526",-6.889
Sardinops sagax,1.064,1025,50,51,10.056,483.126,0.197,200307,FR,38,2040,44.179,-124.5641,161729,female,N,240,,,,44.179,-124.5641,44.2065,-124.574,2003-07-21T18:28:00Z,2003-07-21T18:58:00Z,15.6,TSG,3.4,N,"-124.5641,44.179","-124.574,44.2065",-8.992
Sardinops sagax,1.064,1026,50,52,10.056,483.126,0.214,200307,FR,38,2040,44.179,-124.5641,161729,female,N,252,,,,44.179,-124.5641,44.2065,-124.574,2003-07-21T18:28:00Z,2003-07-21T18:58:00Z,15.6,TSG,3.4,N,"-124.5641,44.179","-124.574,44.2065",-8.992
Sardinops sagax,1.064,1027,50,53,10.056,483.126,0.174,200307,FR,38,2040,44.179,-124.5641,161729,female,N,228,,,,44.179,-124.5641,44.2065,-124.574,2003-07-21T18:28:00Z,2003-07-21T18:58:00Z,15.6,TSG,3.4,N,"-124.5641,44.179","-124.574,44.2065",-8.992
Sardinops sagax,1.064,1028,50,54,10.056,483.126,0.261,200307,FR,38,2040,44.179,-124.5641,161729,female,N,259,,,,44.179,-124.5641,44.2065,-124.574,2003-07-21T18:28:00Z,2003-07-21T18:58:00Z,15.6,TSG,3.4,N,"-124.5641,44.179","-124.574,44.2065",-8.992
Sardinops sagax,1.064,1029,50,55,10.056,483.126,0.218,200307,FR,38,2040,44.179,-124.5641,161729,female,N,260,,,,44.179,-124.5641,44.2065,-124.574,2003-07-21T18:28:00Z,2003-07-21T18:58:00Z,15.6,TSG,3.4,N,"-124.5641,44.179","-124.574,44.2065",-8.992
Sardinops sagax,1.672,1080,50,51,8.73,626.634,0.212,200307,FR,39,2041,46.2233,-124.3273,161729,female,N,247,,,,46.2233,-124.3273,46.1851,-124.334,2003-07-22T13:13:00Z,2003-07-22T13:43:00Z,16.8,TSG,3,N,"-124.3273,46.2233","-124.334,46.1851",-7.058
Sardinops sagax,1.672,1081,50,52,8.73,626.634,0.22,200307,FR,39,2041,46.2233,-124.3273,161729,female,N,248,,,,46.2233,-124.3273,46.1851,-124.334,2003-07-22T13:13:00Z,2003-07-22T13:43:00Z,16.8,TSG,3,N,"-124.3273,46.2233","-124.334,46.1851",-7.058
Sardinops sagax,1.672,1082,50,53,8.73,626.634,0.202,200307,FR,39,2041,46.2233,-124.3273,161729,female,N,244,,,,46.2233,-124.3273,46.1851,-124.334,2003-07-22T13:13:00Z,2003-07-22T13:43:00Z,16.8,TSG,3,N,"-124.3273,46.2233","-124.334,46.1851",-7.058
Sardinops sagax,1.672,1083,50,54,8.73,626.634,0.202,200307,FR,39,2041,46.2233,-124.3273,161729,female,N,235,,,,46.2233,-124.3273,46.1851,-124.334,2003-07-22T13:13:00Z,2003-07-22T13:43:00Z,16.8,TSG,3,N,"-124.3273,46.2233","-124.334,46.1851",-7.058
Sardinops sagax,1.672,1084,50,55,8.73,626.634,0.226,200307,FR,39,2041,46.2233,-124.3273,161729,female,N,250,,,,46.2233,-124.3273,46.1851,-124.334,2003-07-22T13:13:00Z,2003-07-22T13:43:00Z,16.8,TSG,3,N,"-124.3273,46.2233","-124.334,46.1851",-7.058
Sardinops sagax,1.672,1085,50,56,8.73,626.634,0.217,200307,FR,39,2041,46.2233,-124.3273,161729,female,N,247,,,,46.2233,-124.3273,46.1851,-124.334,2003-07-22T13:13:00Z,2003-07-22T13:43:00Z,16.8,TSG,3,N,"-124.3273,46.2233","-124.334,46.1851",-7.058
Sardinops sagax,1.672,1086,50,57,8.73,626.634,0.187,200307,FR,39,2041,46.2233,-124.3273,161729,female,N,236,,,,46.2233,-124.3273,46.1851,-124.334,2003-07-22T13:13:00Z,2003-07-22T13:43:00Z,16.8,TSG,3,N,"-124.3273,46.2233","-124.334,46.1851",-7.058
Sardinops sagax,1.672,1087,50,58,8.73,626.634,0.206,200307,FR,39,2041,46.2233,-124.3273,161729,female,N,232,,,,46.2233,-124.3273,46.1851,-124.334,2003-07-22T13:13:00Z,2003-07-22T13:43:00Z,16.8,TSG,3,N,"-124.3273,46.2233","-124.334,46.1851",-7.058
Sardinops sagax,0.556,1138,50,51,8.276,7272,0.183,200307,FR,40,2042,46.152,-124.3693,161729,female,N,237,,,,46.152,-124.3693,46.119,-124.3891,2003-07-22T15:20:00Z,2003-07-22T15:50:00Z,16.9,TSG,3.4,N,"-124.3693,46.152","-124.3891,46.119",-7.72
Sardinops sagax,0.556,1139,50,52,8.276,7272,0.18,200307,FR,40,2042,46.152,-124.3693,161729,female,N,238,,,,46.152,-124.3693,46.119,-124.3891,2003-07-22T15:20:00Z,2003-07-22T15:50:00Z,16.9,TSG,3.4,N,"-124.3693,46.152","-124.3891,46.119",-7.72
Sardinops sagax,0.556,1140,50,53,8.276,7272,0.193,200307,FR,40,2042,46.152,-124.3693,161729,female,N,233,,,,46.152,-124.3693,46.119,-124.3891,2003-07-22T15:20:00Z,2003-07-22T15:50:00Z,16.9,TSG,3.4,N,"-124.3693,46.152","-124.3891,46.119",-7.72
Sardinops sagax,0.663,1191,50,51,8.786,54.76,0.211,200307,FR,41,2043,46.0355,-124.3881,161729,female,N,246,,,,46.0355,-124.3881,45.9956,-124.3933,2003-07-22T17:44:00Z,2003-07-22T18:14:00Z,15.7,TSG,3.7,N,"-124.3881,46.0355","-124.3933,45.9956",-8.123
