collection;age;len.bin;Catch.wt;log1p.CPUE.trp;Year;Month;Season;time.step;geometry;equilibrium_time.pacific;standard_length;NBRE_IN;Total_N;LON;LAT;CatchWeightLen;keys;date
2099;0;100;0.549285291347006;0.741256438057423;2004;3;Spring;2004 - Spring;-124.5025|-124.5083|43.8033|43.843;2004-03-16 08:49:00;8.8;5;25;-124.5054;43.82315;0.167940805500174;209920043Springc(-124.5025, -124.5083, 43.8033, 43.843)2004 - Spring2004-03-16 08:49:00;2004-03-16
2099;0;100;0.549285291347006;0.741256438057423;2004;3;Spring;2004 - Spring;-124.5025|-124.5083|43.8033|43.843;2004-03-16 08:49:00;9;5;25;-124.5054;43.82315;0.180584514669046;209920043Springc(-124.5025, -124.5083, 43.8033, 43.843)2004 - Spring2004-03-16 08:49:00;2004-03-16
2099;0;100;0.549285291347006;0.741256438057423;2004;3;Spring;2004 - Spring;-124.5025|-124.5083|43.8033|43.843;2004-03-16 08:49:00;9.3;5;25;-124.5054;43.82315;0.200759971177786;209920043Springc(-124.5025, -124.5083, 43.8033, 43.843)2004 - Spring2004-03-16 08:49:00;2004-03-16
2100;0;100;869.920179371358;7.46212324041328;2004;3;Spring;2004 - Spring;-124.5303|-124.5321|43.9973|44.0326;2004-03-16 10:37:00;8.9;50;2500;-124.5312;44.01495;52.7478979859019;210020043Springc(-124.5303, -124.5321, 43.9973, 44.0326)2004 - Spring2004-03-16 10:37:00;2004-03-16
2100;0;100;869.920179371358;7.46212324041328;2004;3;Spring;2004 - Spring;-124.5303|-124.5321|43.9973|44.0326;2004-03-16 10:37:00;9.3;150;2500;-124.5312;44.01495;182.388148513082;210020043Springc(-124.5303, -124.5321, 43.9973, 44.0326)2004 - Spring2004-03-16 10:37:00;2004-03-16
2100;0;100;869.920179371358;7.46212324041328;2004;3;Spring;2004 - Spring;-124.5303|-124.5321|43.9973|44.0326;2004-03-16 10:37:00;9.4;50;2500;-124.5312;44.01495;62.9329954078995;210020043Springc(-124.5303, -124.5321, 43.9973, 44.0326)2004 - Spring2004-03-16 10:37:00;2004-03-16
2482;0;100;323.251235403935;6.4731226094859;2008;8;Summer;2008 - Summer;-122.4848|-122.4666|37.067|37.0481;2008-08-14 05:03:00;8.5;50;2500;-122.4757;37.05755;19.701786462283;248220088Summerc(-122.4848, -122.4666, 37.067, 37.0481)2008 - Summer2008-08-14 05:03:00;2008-08-14
2482;0;100;323.251235403935;6.4731226094859;2008;8;Summer;2008 - Summer;-122.4848|-122.4666|37.067|37.0481;2008-08-14 05:03:00;9.1;50;2500;-122.4757;37.05755;24.5576143403764;248220088Summerc(-122.4848, -122.4666, 37.067, 37.0481)2008 - Summer2008-08-14 05:03:00;2008-08-14
3341;0;100;5e-04;0.000999500333083533;2014;8;Summer;2014 - Summer;-124.454|-124.4775|41.4277|41.4575;2014-08-15 05:55:00;3.4;1;1;-124.46575;41.4426;5e-04;334120148Summerc(-124.454, -124.4775, 41.4277, 41.4575)2014 - Summer2014-08-15 05:55:00;2014-08-15
3362;0;100;0.0055;0.0109399400383344;2014;8;Summer;2014 - Summer;-121.8277|-121.8503|35.7407|35.7658;2014-08-22 11:48:00;8.3;1;1;-121.839;35.75325;0.0055;336220148Summerc(-121.8277, -121.8503, 35.7407, 35.7658)2014 - Summer2014-08-22 11:48:00;2014-08-22
3395;0;100;5e-04;0.00066644454316052;2015;4;Spring;2015 - Spring;-124.321|-124.3513|39.8002|39.8503;2015-04-18 08:29:00;2.8;1;1;-124.33615;39.82525;5e-04;339520154Springc(-124.321, -124.3513, 39.8002, 39.8503)2015 - Spring2015-04-18 08:29:00;2015-04-18
3423;0;100;0.008;0.0158733491562901;2015;6;Summer;2015 - Summer;-117.5307|-117.5685|33.2487|33.255;2015-06-21 05:25:00;8.8;1;1;-117.5496;33.25185;0.008;342320156Summerc(-117.5307, -117.5685, 33.2487, 33.255)2015 - Summer2015-06-21 05:25:00;2015-06-21
3433;0;100;0.003;0.00598207167754747;2015;6;Summer;2015 - Summer;-120.2365|-120.2673|34.2113|34.2245;2015-06-24 07:40:00;6.4;1;1;-120.2519;34.2179;0.003;343320156Summerc(-120.2365, -120.2673, 34.2113, 34.2245)2015 - Summer2015-06-24 07:40:00;2015-06-24
3434;0;100;0.0035;0.00697561373642524;2015;6;Summer;2015 - Summer;-120.2507|-120.2848|34.197|34.213;2015-06-24 10:04:00;6.8;1;1;-120.26775;34.205;0.0035;343420156Summerc(-120.2507, -120.2848, 34.197, 34.213)2015 - Summer2015-06-24 10:04:00;2015-06-24
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;5.3;50;2500;-121.01385;34.96895;12.0030241596212;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;5.5;50;2500;-121.01385;34.96895;13.5285455583224;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;5.6;50;2500;-121.01385;34.96895;14.3392669073112;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;5.7;50;2500;-121.01385;34.96895;15.1829235503249;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;5.8;50;2500;-121.01385;34.96895;16.0602403575688;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;5.9;200;2500;-121.01385;34.96895;67.8877805212878;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;6;200;2500;-121.01385;34.96895;71.6750742477579;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;6.1;100;2500;-121.01385;34.96895;37.802888400056;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;6.3;200;2500;-121.01385;34.96895;83.9092013525288;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;6.4;200;2500;-121.01385;34.96895;88.287847518205;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;6.5;200;2500;-121.01385;34.96895;92.8217505679362;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;6.6;250;2500;-121.01385;34.96895;121.89237457174;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;6.7;100;2500;-121.01385;34.96895;51.1836472693409;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;6.8;250;2500;-121.01385;34.96895;134.231181795623;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;6.9;200;2500;-121.01385;34.96895;112.569872927535;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;7;100;2500;-121.01385;34.96895;58.962553911525;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;7.1;150;2500;-121.01385;34.96895;92.5902682908391;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3438;0;100;1152.45;7.74322633475428;2015;6;Summer;2015 - Summer;-120.9957|-121.032|34.9612|34.9767;2015-06-26 05:13:00;7.3;100;2500;-121.01385;34.96895;67.521558092478;343820156Summerc(-120.9957, -121.032, 34.9612, 34.9767)2015 - Summer2015-06-26 05:13:00;2015-06-26
3440;0;100;0.84;0.985816794522765;2015;6;Summer;2015 - Summer;-121.0337|-121.0672|34.9257|34.9498;2015-06-26 09:54:00;5.6;8;64;-121.05045;34.93775;0.0718839625625302;344020156Summerc(-121.0337, -121.0672, 34.9257, 34.9498)2015 - Summer2015-06-26 09:54:00;2015-06-26
3440;0;100;0.84;0.985816794522765;2015;6;Summer;2015 - Summer;-121.0337|-121.0672|34.9257|34.9498;2015-06-26 09:54:00;5.8;8;64;-121.05045;34.93775;0.0805113485976101;344020156Summerc(-121.0337, -121.0672, 34.9257, 34.9498)2015 - Summer2015-06-26 09:54:00;2015-06-26
3440;0;100;0.84;0.985816794522765;2015;6;Summer;2015 - Summer;-121.0337|-121.0672|34.9257|34.9498;2015-06-26 09:54:00;6.3;16;64;-121.05045;34.93775;0.210321975581665;344020156Summerc(-121.0337, -121.0672, 34.9257, 34.9498)2015 - Summer2015-06-26 09:54:00;2015-06-26
3440;0;100;0.84;0.985816794522765;2015;6;Summer;2015 - Summer;-121.0337|-121.0672|34.9257|34.9498;2015-06-26 09:54:00;6.4;8;64;-121.05045;34.93775;0.110648619046367;344020156Summerc(-121.0337, -121.0672, 34.9257, 34.9498)2015 - Summer2015-06-26 09:54:00;2015-06-26
3440;0;100;0.84;0.985816794522765;2015;6;Summer;2015 - Summer;-121.0337|-121.0672|34.9257|34.9498;2015-06-26 09:54:00;6.6;24;64;-121.05045;34.93775;0.366634094211828;344020156Summerc(-121.0337, -121.0672, 34.9257, 34.9498)2015 - Summer2015-06-26 09:54:00;2015-06-26
3441;0;100;0.35;0.53062825106217;2015;6;Summer;2015 - Summer;-121.1423|-121.178|35.2798|35.298;2015-06-27 05:10:00;6;5;25;-121.16015;35.2889;0.0581951966984211;344120156Summerc(-121.1423, -121.178, 35.2798, 35.298)2015 - Summer2015-06-27 05:10:00;2015-06-27
3441;0;100;0.35;0.53062825106217;2015;6;Summer;2015 - Summer;-121.1423|-121.178|35.2798|35.298;2015-06-27 05:10:00;6.1;5;25;-121.16015;35.2889;0.0613866549647428;344120156Summerc(-121.1423, -121.178, 35.2798, 35.298)2015 - Summer2015-06-27 05:10:00;2015-06-27
3441;0;100;0.35;0.53062825106217;2015;6;Summer;2015 - Summer;-121.1423|-121.178|35.2798|35.298;2015-06-27 05:10:00;6.3;5;25;-121.16015;35.2889;0.0681284606785124;344120156Summerc(-121.1423, -121.178, 35.2798, 35.298)2015 - Summer2015-06-27 05:10:00;2015-06-27
3441;0;100;0.35;0.53062825106217;2015;6;Summer;2015 - Summer;-121.1423|-121.178|35.2798|35.298;2015-06-27 05:10:00;6.6;5;25;-121.16015;35.2889;0.0791745335592662;344120156Summerc(-121.1423, -121.178, 35.2798, 35.298)2015 - Summer2015-06-27 05:10:00;2015-06-27
3441;0;100;0.35;0.53062825106217;2015;6;Summer;2015 - Summer;-121.1423|-121.178|35.2798|35.298;2015-06-27 05:10:00;6.7;5;25;-121.16015;35.2889;0.0831151540990576;344120156Summerc(-121.1423, -121.178, 35.2798, 35.298)2015 - Summer2015-06-27 05:10:00;2015-06-27
3446;0;100;1.156;1.19755223652301;2015;6;Summer;2015 - Summer;-121.9507|-121.967|35.8938|35.9307;2015-06-28 09:54:00;2.5;17;289;-121.95885;35.91225;0.036635126257968;344620156Summerc(-121.9507, -121.967, 35.8938, 35.9307)2015 - Summer2015-06-28 09:54:00;2015-06-28
3446;0;100;1.156;1.19755223652301;2015;6;Summer;2015 - Summer;-121.9507|-121.967|35.8938|35.9307;2015-06-28 09:54:00;2.6;17;289;-121.95885;35.91225;0.0415829579000325;344620156Summerc(-121.9507, -121.967, 35.8938, 35.9307)2015 - Summer2015-06-28 09:54:00;2015-06-28
3446;0;100;1.156;1.19755223652301;2015;6;Summer;2015 - Summer;-121.9507|-121.967|35.8938|35.9307;2015-06-28 09:54:00;2.8;34;289;-121.95885;35.91225;0.10565788220884;344620156Summerc(-121.9507, -121.967, 35.8938, 35.9307)2015 - Summer2015-06-28 09:54:00;2015-06-28
3446;0;100;1.156;1.19755223652301;2015;6;Summer;2015 - Summer;-121.9507|-121.967|35.8938|35.9307;2015-06-28 09:54:00;2.9;34;289;-121.95885;35.91225;0.118338754339001;344620156Summerc(-121.9507, -121.967, 35.8938, 35.9307)2015 - Summer2015-06-28 09:54:00;2015-06-28
3446;0;100;1.156;1.19755223652301;2015;6;Summer;2015 - Summer;-121.9507|-121.967|35.8938|35.9307;2015-06-28 09:54:00;3;85;289;-121.95885;35.91225;0.330082972561091;344620156Summerc(-121.9507, -121.967, 35.8938, 35.9307)2015 - Summer2015-06-28 09:54:00;2015-06-28
3446;0;100;1.156;1.19755223652301;2015;6;Summer;2015 - Summer;-121.9507|-121.967|35.8938|35.9307;2015-06-28 09:54:00;3.2;68;289;-121.95885;35.91225;0.325271405220663;344620156Summerc(-121.9507, -121.967, 35.8938, 35.9307)2015 - Summer2015-06-28 09:54:00;2015-06-28
3446;0;100;1.156;1.19755223652301;2015;6;Summer;2015 - Summer;-121.9507|-121.967|35.8938|35.9307;2015-06-28 09:54:00;3.3;17;289;-121.95885;35.91225;0.0898155410447803;344620156Summerc(-121.9507, -121.967, 35.8938, 35.9307)2015 - Summer2015-06-28 09:54:00;2015-06-28
3446;0;100;1.156;1.19755223652301;2015;6;Summer;2015 - Summer;-121.9507|-121.967|35.8938|35.9307;2015-06-28 09:54:00;3.5;17;289;-121.95885;35.91225;0.108615360467624;344620156Summerc(-121.9507, -121.967, 35.8938, 35.9307)2015 - Summer2015-06-28 09:54:00;2015-06-28
3449;0;100;0.0025;0.00498754151103907;2015;6;Summer;2015 - Summer;-122.2362|-122.2508|36.2745|36.3085;2015-06-29 10:13:00;6.2;1;1;-122.2435;36.2915;0.0025;344920156Summerc(-122.2362, -122.2508, 36.2745, 36.3085)2015 - Summer2015-06-29 10:13:00;2015-06-29
3461;0;100;1.44;1.35583515363518;2015;7;Summer;2015 - Summer;-122.3888|-122.4055|36.9592|36.989;2015-07-09 05:52:00;6;8;64;-122.39715;36.9741;0.107260292517608;346120157Summerc(-122.3888, -122.4055, 36.9592, 36.989)2015 - Summer2015-07-09 05:52:00;2015-07-09
3461;0;100;1.44;1.35583515363518;2015;7;Summer;2015 - Summer;-122.3888|-122.4055|36.9592|36.989;2015-07-09 05:52:00;6.5;8;64;-122.39715;36.9741;0.138905864031591;346120157Summerc(-122.3888, -122.4055, 36.9592, 36.989)2015 - Summer2015-07-09 05:52:00;2015-07-09
3461;0;100;1.44;1.35583515363518;2015;7;Summer;2015 - Summer;-122.3888|-122.4055|36.9592|36.989;2015-07-09 05:52:00;6.7;16;64;-122.39715;36.9741;0.306381153328169;346120157Summerc(-122.3888, -122.4055, 36.9592, 36.989)2015 - Summer2015-07-09 05:52:00;2015-07-09
3461;0;100;1.44;1.35583515363518;2015;7;Summer;2015 - Summer;-122.3888|-122.4055|36.9592|36.989;2015-07-09 05:52:00;7.1;8;64;-122.39715;36.9741;0.184745940675368;346120157Summerc(-122.3888, -122.4055, 36.9592, 36.989)2015 - Summer2015-07-09 05:52:00;2015-07-09
3461;0;100;1.44;1.35583515363518;2015;7;Summer;2015 - Summer;-122.3888|-122.4055|36.9592|36.989;2015-07-09 05:52:00;7.3;8;64;-122.39715;36.9741;0.202089279941566;346120157Summerc(-122.3888, -122.4055, 36.9592, 36.989)2015 - Summer2015-07-09 05:52:00;2015-07-09
3461;0;100;1.44;1.35583515363518;2015;7;Summer;2015 - Summer;-122.3888|-122.4055|36.9592|36.989;2015-07-09 05:52:00;7.8;16;64;-122.39715;36.9741;0.500617469505699;346120157Summerc(-122.3888, -122.4055, 36.9592, 36.989)2015 - Summer2015-07-09 05:52:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;6.4;50;2500;-122.4216;37.05035;4.01632615493615;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;6.5;100;2500;-122.4216;37.05035;8.4451583096097;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;6.7;50;2500;-122.4216;37.05035;4.65681805619944;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;6.8;200;2500;-122.4216;37.05035;19.5403094367689;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;6.9;300;2500;-122.4216;37.05035;30.7256777193579;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7;250;2500;-122.4216;37.05035;26.8228135687485;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7.1;50;2500;-122.4216;37.05035;5.61606497658879;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7.2;200;2500;-122.4216;37.05035;23.5023674648342;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7.3;350;2500;-122.4216;37.05035;43.0029783686953;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7.4;200;2500;-122.4216;37.05035;25.6771077491429;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7.5;150;2500;-122.4216;37.05035;20.1111448008569;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7.6;150;2500;-122.4216;37.05035;20.9902115315472;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7.7;200;2500;-122.4216;37.05035;29.1939386552216;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7.8;150;2500;-122.4216;37.05035;22.8272964500458;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;7.9;50;2500;-122.4216;37.05035;7.9287214820902;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3462;0;100;302;6.40522845803084;2015;7;Summer;2015 - Summer;-122.4132|-122.43|37.0325|37.0682;2015-07-09 08:23:00;8.2;50;2500;-122.4216;37.05035;8.94306527535652;346220157Summerc(-122.4132, -122.43, 37.0325, 37.0682)2015 - Summer2015-07-09 08:23:00;2015-07-09
3465;0;100;0.005;0.00995033085316808;2015;7;Summer;2015 - Summer;-122.9445|-122.9792|37.3727|37.3972;2015-07-10 08:14:00;7.9;1;1;-122.96185;37.38495;0.005;346520157Summerc(-122.9445, -122.9792, 37.3727, 37.3972)2015 - Summer2015-07-10 08:14:00;2015-07-10
3468;0;100;0.001;0.00199800266267306;2015;7;Summer;2015 - Summer;-123.2303|-123.2688|37.9343|37.9503;2015-07-11 09:37:00;5.1;1;1;-123.24955;37.9423;0.001;346820157Summerc(-123.2303, -123.2688, 37.9343, 37.9503)2015 - Summer2015-07-11 09:37:00;2015-07-11
3469;0;100;0.002;0.00399202126953745;2015;7;Summer;2015 - Summer;-123.5953|-123.6318|38.5265|38.5478;2015-07-12 06:11:00;6;1;1;-123.61355;38.53715;0.002;346920157Summerc(-123.5953, -123.6318, 38.5265, 38.5478)2015 - Summer2015-07-12 06:11:00;2015-07-12
3705;0;100;0.026;0.0506931143155181;2016;8;Summer;2016 - Summer;-121.5725|-121.5303|35.5968|35.5853;2016-08-28 04:48:00;6.7;2;4;-121.5514;35.59105;0.0126890166146529;370520168Summerc(-121.5725, -121.5303, 35.5968, 35.5853)2016 - Summer2016-08-28 04:48:00;2016-08-28
3705;0;100;0.026;0.0506931143155181;2016;8;Summer;2016 - Summer;-121.5725|-121.5303|35.5968|35.5853;2016-08-28 04:48:00;6.8;2;4;-121.5514;35.59105;0.0133109833853471;370520168Summerc(-121.5725, -121.5303, 35.5968, 35.5853)2016 - Summer2016-08-28 04:48:00;2016-08-28
